publishedAt,title,description
2025-05-30 07:00:00,Tesla gains 22% in May as Elon Musk ends time with Trump's DOGE - CNBC,Tesla gains 22% in May as Elon Musk ends time with Trump's DOGE&nbsp;&nbsp;CNBC
2025-03-10 07:00:00,"Tesla shares plunge 15%, suffering steepest drop in five years - CNBC","Tesla shares plunge 15%, suffering steepest drop in five years&nbsp;&nbsp;CNBC"
2025-06-06 17:15:50,Tesla Stock Price Rebounds but Ends the Week Down Sharply - The New York Times,Tesla Stock Price Rebounds but Ends the Week Down Sharply&nbsp;&nbsp;The New York Times
2025-06-05 20:13:00,Tesla Breaks Support As The Musk-Trump Feud Continues - Investor's Business Daily,Tesla Breaks Support As The Musk-Trump Feud Continues&nbsp;&nbsp;Investor's Business Daily
2025-01-02 08:00:00,Tesla Annual Sales Slip for First Time as Competition Grows - The New York Times,Tesla Annual Sales Slip for First Time as Competition Grows&nbsp;&nbsp;The New York Times
2025-03-04 08:00:00,Tesla charging stations torched in apparent arson near Boston - NBC News,Tesla charging stations torched in apparent arson near Boston&nbsp;&nbsp;NBC News
2025-06-05 14:34:33,"Tesla loses $152 billion in market cap after Musk-Trump spat, biggest hit ever - CNBC","Tesla loses $152 billion in market cap after Musk-Trump spat, biggest hit ever&nbsp;&nbsp;CNBC"
2025-06-06 20:28:00,Tesla Stock Bounces After Musk-Trump Blowup But Maybe There's More To Thursday's Decline - Investor's Business Daily,Tesla Stock Bounces After Musk-Trump Blowup But Maybe There's More To Thursday's Decline&nbsp;&nbsp;Investor's Business Daily
2025-06-06 17:22:56,What does the Trump-Musk feud mean for Tesla stock? Experts weigh in. - ABC News,What does the Trump-Musk feud mean for Tesla stock? Experts weigh in.&nbsp;&nbsp;ABC News
2025-06-05 21:46:09,Tesla shares hit as Trump-Musk feud explodes - BBC,Tesla shares hit as Trump-Musk feud explodes&nbsp;&nbsp;BBC
2025-06-05 21:01:00,"Stocks Slip, Tesla Tanks as Trump-Musk Feud Rages - WSJ","Stocks Slip, Tesla Tanks as Trump-Musk Feud Rages&nbsp;&nbsp;WSJ"
2025-03-12 07:00:00,Tesla Stock Tumbles as Elon Musk’s Political Role Grows More Divisive - The New York Times,Tesla Stock Tumbles as Elon Musk’s Political Role Grows More Divisive&nbsp;&nbsp;The New York Times
2024-07-24 07:00:00,Tesla's bleak margins sink shares as Musk hypes everything but cars - Reuters,Tesla's bleak margins sink shares as Musk hypes everything but cars&nbsp;&nbsp;Reuters
2025-03-12 07:00:00,Donald Trump says anti-Tesla protesters will 'go through hell' - BBC,Donald Trump says anti-Tesla protesters will 'go through hell'&nbsp;&nbsp;BBC
2025-04-22 07:00:00,What Analysts Think of Tesla Stock Ahead of Earnings - Investopedia,What Analysts Think of Tesla Stock Ahead of Earnings&nbsp;&nbsp;Investopedia
2025-06-06 16:44:44,Tesla's stock regains ground following Musk spat with Trump - CBS News,Tesla's stock regains ground following Musk spat with Trump&nbsp;&nbsp;CBS News
2025-04-22 07:00:00,"As Tesla profits plunge 71%, Elon Musk says he'll spend less time on DOGE - NPR","As Tesla profits plunge 71%, Elon Musk says he'll spend less time on DOGE&nbsp;&nbsp;NPR"
2025-06-06 09:00:00,What the Trump-Musk breakup may mean for SpaceX and Tesla - NPR,What the Trump-Musk breakup may mean for SpaceX and Tesla&nbsp;&nbsp;NPR
2025-06-05 19:45:11,Tesla stock plunges as Musk-Trump tension blows up - Axios,Tesla stock plunges as Musk-Trump tension blows up&nbsp;&nbsp;Axios
2025-03-10 07:00:00,Tesla faces vandalism and protests amid backlash against Elon Musk - CNN,Tesla faces vandalism and protests amid backlash against Elon Musk&nbsp;&nbsp;CNN
2024-06-15 07:00:00,How Elon Musk’s $44.9B Tesla pay package compares to other top U.S. CEO plans - PBS,How Elon Musk’s $44.9B Tesla pay package compares to other top U.S. CEO plans&nbsp;&nbsp;PBS
2025-06-06 10:05:52,Tesla short sellers pocket about $4 billion in profits after Musk-Trump spat - Reuters,Tesla short sellers pocket about $4 billion in profits after Musk-Trump spat&nbsp;&nbsp;Reuters
2025-06-05 20:23:00,Tesla Short Sellers Just Minted Billions - WSJ,Tesla Short Sellers Just Minted Billions&nbsp;&nbsp;WSJ
2025-06-05 20:23:26,Tesla's Biggest One-Day Market-Cap Decline - WSJ,Tesla's Biggest One-Day Market-Cap Decline&nbsp;&nbsp;WSJ
2023-07-27 07:00:00,Tesla created secret team to suppress thousands of driving range complaints - Reuters,Tesla created secret team to suppress thousands of driving range complaints&nbsp;&nbsp;Reuters
2025-06-04 22:02:00,Tesla shares under pressure on fresh full self-driving safety concerns - CNBC,Tesla shares under pressure on fresh full self-driving safety concerns&nbsp;&nbsp;CNBC
2024-01-03 08:00:00,"Tesla delivers record Q4 cars, but China's BYD steals top EV spot - Reuters","Tesla delivers record Q4 cars, but China's BYD steals top EV spot&nbsp;&nbsp;Reuters"
2024-10-11 07:00:00,Elon Musk unveils Tesla Cybercab self-driving robotaxi - The Guardian,Elon Musk unveils Tesla Cybercab self-driving robotaxi&nbsp;&nbsp;The Guardian
2019-11-22 16:40:25,"2025 Tesla Cybertruck Review, Pricing, and Specs - Car and Driver","2025 Tesla Cybertruck Review, Pricing, and Specs&nbsp;&nbsp;Car and Driver"
2025-06-06 18:08:08,Trump-Musk induced Tesla slide points to market risks from massive stocks - Reuters,Trump-Musk induced Tesla slide points to market risks from massive stocks&nbsp;&nbsp;Reuters
2025-03-20 07:00:00,3 people face federal charges for Tesla attacks. Are such acts domestic terrorism? - NPR,3 people face federal charges for Tesla attacks. Are such acts domestic terrorism?&nbsp;&nbsp;NPR
2025-06-05 21:12:21,Tesla: Shares Sink as CEO Elon Musk Feuds With US President Donald Trump - Morningstar,Tesla: Shares Sink as CEO Elon Musk Feuds With US President Donald Trump&nbsp;&nbsp;Morningstar
2018-08-29 07:00:00,Is Tesla disruptive? - Benedict Evans,Is Tesla disruptive?&nbsp;&nbsp;Benedict Evans
2025-03-11 07:00:00,Trump turns the White House lawn into a Tesla showroom - NBC News,Trump turns the White House lawn into a Tesla showroom&nbsp;&nbsp;NBC News
2025-06-05 19:53:28,Tesla Shares Slide as Musk Feuds With Trump - The New York Times,Tesla Shares Slide as Musk Feuds With Trump&nbsp;&nbsp;The New York Times
2024-12-30 08:00:00,Tesla Record Deliveries Expected. This Is Why It Probably Doesn't Matter For TSLA. - Investor's Business Daily,Tesla Record Deliveries Expected. This Is Why It Probably Doesn't Matter For TSLA.&nbsp;&nbsp;Investor's Business Daily
2025-03-17 07:00:00,A Tesla protester targeted by Elon Musk speaks out: 'I have to protect myself' - NPR,A Tesla protester targeted by Elon Musk speaks out: 'I have to protect myself'&nbsp;&nbsp;NPR
